word,type,cefr,phon_br,phon_n_am,definition,example,vietnamese,synonyms,antonyms
predisposed,adjective,c2,/ˌpriːdɪˈspəʊzd/,/ˌpriːdɪˈspoʊzd/,Having an inclination or tendency beforehand; susceptible,Individuals with a family history of heart disease may be predisposed to developing it themselves.,"có khuynh hướng, dễ mắc, dễ bị","inclined, prone, susceptible","resistant, immune, averse"
pre-empt,verb,c2,/ˌpriːˈɛmpt/,/ˌpriːˈɛmpt/,"Prevent; take the place of, supplant; take before someone else can",The swift government action was designed to pre-empt any further public outcry.,"đón đầu, ngăn chặn, vượt mặt","forestall, obviate, anticipate","facilitate, promote, encourage"
presumptive,adjective,c2,/prɪˈzʌmptɪv/,/prɪˈzʌmptɪv/,Based on inference or assumption; providing reasonable grounds for belief,"He is the presumptive nominee for the presidential election, according to the polls.","Giả định, Suy đoán, Sơ bộ","conjectural, hypothetical, speculative","definitive, irrefutable, empirical"
presumptuous,adjective,c2,/prɪˈzʌmptʃuəs/,/prɪˈzʌmptʃuəs/,Too bold or forward; going beyond that which is proper,It would be presumptuous of me to offer advice to such an experienced professional.,"Hỗn xược, Xấc xược, Vô phép","audacious, impertinent, insolent","deferential, unassuming, reticent"
pretentious,adjective,c2,/prɪˈtɛnʃəs/,/prɪˈtɛnʃəs/,"Claiming or demanding a position of importance or dignity, esp. when unjustified; showing off, creating a deceptive, false show of worth",The novel was full of pretentious language and overly complex metaphors.,"Tự phụ, Phô trương, Trịch thượng","ostentatious, bombastic, pompous","unassuming, humble, authentic"
principled,adjective,c2,/ˈprɪnsɪpəld/,/ˈprɪnsɪpəld/,Having high moral standards,She was a principled businesswoman who refused to compromise her ethics for profit.,"Chính trực, Có đạo đức, Có nguyên tắc","upright, scrupulous, conscientious","unscrupulous, machiavellian, amoral"
pristine,adjective,c2,/prɪˈstiːn/,/prɪˈstiːn/,"In an original, pure state; uncorrupted","The untouched rainforest remained in a pristine state, completely free from human interference.","Nguyên sơ, Tinh khôi, Không tì vết","immaculate, unblemished, unadulterated","corrupted, tarnished, defiled"
probity,noun,c2,/ˈprəʊbɪti/,/ˈproʊbɪti/,"Honesty, integrity",The auditor's reputation for probity ensured that all financial reports were handled with the utmost honesty and integrity.,"Chính trực, Liêm chính, Trung thực","Rectitude, Uprightness, Scrupulousness","Corruption, Duplicity, Venality"
prodigal,adjective,c2,/ˈprɒdɪɡəl/,/ˈprɑːdɪɡəl/,"Wasteful, extravagant; giving abundantly, lavish",The prodigal heir quickly squandered his entire inheritance on luxurious holidays and frivolous purchases.,"Phung phí, Hoang phí, Trác táng","extravagant, profligate, improvident","frugal, thrifty, parsimonious"
prodigious,adjective,c2,/prəˈdɪdʒəs/,/prəˈdɪdʒəs/,"Extraordinarily large, impressive, etc.","She displayed a prodigious talent for mathematics, solving complex equations with remarkable speed and accuracy.","Khổng lồ, phi thường, kinh ngạc","colossal, monumental, immense","inconsequential, paltry, trivial"
profligate,adjective,c2,/ˈprɒflɪɡət/,/ˈprɑːflɪɡət/,"Completely and shamelessly immoral, or extremely wasteful",His profligate spending habits left him deeply in debt despite earning a substantial salary.,"hoang phí, truỵ lạc, phóng đãng","prodigal, dissolute, licentious","provident, abstemious, principled"
profound,adjective,c2,/prəˈfaʊnd/,/prəˈfaʊnd/,"Very insightful, penetrating deeply into a subject; pervasive, intense, ""down to the very bottom""; at the very bottom",His speech had a profound impact on everyone in the audience.,"Sâu sắc, Triệt để, Thâm thúy","insightful, penetrating, sagacious","superficial, trivial, cursory"
profuse,adjective,c2,/prəˈfjuːs/,/prəˈfjuːs/,"Abundant, extravagant, giving or given freely",She offered her profuse apologies for the mistake.,"Dồi dào, thái quá, tuôn trào","copious, lavish, bountiful","scanty, sparse, meagre"
prohibitive,adjective,c2,/prəˈhɪbɪtɪv/,/proʊˈhɪbɪtɪv/,"Tending to forbid something, or serving to prevent something",The cost of the rare antique was prohibitive for the average collector.,"Cấm, Ngăn cấm, Ngăn chặn","exorbitant, restrictive, deterrent","permissive, conducive, facilitative"
proliferate,verb,c2,/prəˈlɪfəreɪt/,/proʊˈlɪfəreɪt/,Increase or spread rapidly or excessively,Rumors about the new policy began to proliferate throughout the office.,"Sinh sôi nảy nở, Bùng phát, Gia tăng nhanh chóng","burgeon, escalate, mushroom","dwindle, abate, curtail"
prologue,noun,c2,/ˈprəʊlɒɡ/,/ˈproʊlɔːɡ/,"Introductory part to a book, play, etc.",The novel's prologue introduced the main characters and hinted at the coming conflict.,"Lời nói đầu, Mở đầu, Khúc dạo đầu","foreword, preface, preamble","epilogue, afterword, denouement"
pronounced,adjective,c2,/prəˈnaʊnst/,/prəˈnaʊnst/,"Distinct, strong, clearly indicated","There was a pronounced difference in their political views, making compromise difficult.","Rõ rệt, Đáng kể, Nổi bật","evident, manifest, conspicuous","subtle, imperceptible, unobtrusive"
propriety,noun,c2,/prəˈpraɪəti/,/prəˈpraɪəti/,Conforming to good manners or appropriate behavior; justness,She always conducted herself with the utmost propriety at formal events.,"Đúng mực, Lịch sự, Khuôn phép","Decorum, Etiquette, Rectitude","Impropriety, Indecorum, Indiscretion"
prosaic,adjective,c2,/prəˈzeɪɪk/,/proʊˈzeɪɪk/,"Dull, ordinary",His prosaic explanation of the complex scientific concept failed to capture the audience's imagination.,"Tẻ nhạt, Bình thường, Tầm thường","mundane, pedestrian, banal","evocative, vibrant, exhilarating"
proscribe,verb,c2,/prəˈskraɪb/,/proʊˈskraɪb/,"Prohibit, outlaw; denounce; exile or banish",The rules proscribe the use of mobile phones during class time.,"Cấm, Lên án, Trục xuất","interdict, censure, repudiate","sanction, endorse, legitimize"
prospective,adjective,c2,/prəˈspektɪv/,/prəˈspektɪv/,"Potential, in the future",The company invited several prospective employees for a second interview.,"Tiềm năng, Tương lai, Sắp tới","forthcoming, impending, anticipated","current, existing, actual"
prudent,adjective,c2,/ˈpruːdənt/,/ˈpruːdənt/,"Wise in practical matters, carefully providing for the future",It is always prudent to save a portion of your income for unexpected expenses.,"Khôn ngoan, Thận trọng, Biết lo xa","judicious, circumspect, sagacious","imprudent, reckless, impetuous"
pugnacious,adjective,c2,/pʌɡˈneɪʃəs/,/pʌɡˈneɪʃəs/,"Inclined to fight, combative","The coach warned his team to avoid the opposing player, who had a reputation for being pugnacious and starting fights.","Hiếu chiến, Hung hăng, Thích gây sự","belligerent, truculent, contentious","pacific, conciliatory, amicable"
qualified,adjective,c2,/ˈkwɒlɪfaɪd/,/ˈkwɑːlɪfaɪd/,"Modified, limited, conditional on something else",His endorsement of the new policy was qualified; he supported it in principle but had reservations about its implementation.,"có điều kiện, hạn chế, có ngoại lệ","conditional, provisional, contingent","absolute, unconditional, unequivocal"
quandary,noun,c2,/ˈkwɒndəri/,/ˈkwɑːndəri/,"Uncertainty or confusion about what to do, dilemma","She found herself in a quandary, unsure whether to accept the lucrative job offer or pursue her passion for art.","Lưỡng nan, Tình thế khó xử, Bối rối","dilemma, predicament, perplexity","certainty, resolution, decisiveness"
quibble,verb,c2,/ˈkwɪbəl/,/ˈkwɪbəl/,"Make trivial arguments or criticisms, find faults in a petty way, esp. to evade something more important",It's not worth our time to quibble over such a minor detail when the main agreement is sound.,"Bắt bẻ, Cãi vặt, Vặn vẹo","cavil, carp, nitpick","concede, acquiesce, assent"
quotidian,adjective,c2,/kwəʊˈtɪdɪən/,/kwoʊˈtɪdiən/,"Daily; everyday, ordinary","His quotidian routine involved waking up, making coffee, and reading the newspaper.","Hàng ngày, Thường nhật, Bình thường","mundane, prosaic, banal","extraordinary, exceptional, unprecedented"
ranks,noun,c2,/ræŋks/,/ræŋks/,Personnel; a group of people considered all together,She quickly rose through the ranks of the company due to her exceptional leadership skills.,"Hàng ngũ, Đội ngũ, Cấp bậc","personnel, cadre, contingent","individual, outsider, maverick"
reap,verb,c2,/riːp/,/riːp/,"Harvest, such as by cutting; gather; get as a result of one's effort","After years of hard work, they were finally able to reap the rewards of their investment.","Gặt, Thu hoạch, Gặt hái","harvest, garner, derive","sow, forfeit, squander"
recluse,noun,c2,/ˈrɛkluːs/,/ˈrɛkluːs/,Person who lives in seclusion,"The old man lived as a recluse, rarely venturing out of his isolated cabin.","Ẩn sĩ, Người sống ẩn dật, Kẻ ẩn dật","hermit, anchorite, solitary","socialite, extrovert, joiner"
refute,verb,c2,/rɪˈfjuːt/,/rɪˈfjuːt/,Prove to be false,"She tried to refute the accusations with solid evidence, but her efforts were in vain.","Bác bỏ, Phản bác, Chứng minh là sai","disprove, rebut, contradict","corroborate, substantiate, validate"
relegate,verb,c2,/ˈrɛlɪɡeɪt/,/ˈrɛləɡeɪt/,"Send or commit to an inferior place, rank, condition, etc.; exile, banish; assign (a task) to someone else",The manager decided to relegate the unproductive employee to a less demanding role.,"Giáng cấp, Trục xuất, Giao phó","demote, downgrade, ostracize","promote, elevate, exalt"
remedial,adjective,c2,/rɪˈmiːdiəl/,/rɪˈmidiəl/,"Providing a remedy, curative; correcting a deficient skill",Students who struggled with math were offered remedial classes to help them catch up.,"Bổ trợ, Phụ đạo, Khắc phục","curative, therapeutic, corrective","detrimental, exacerbating, deleterious"
render,verb,c2,/ˈrɛndə/,/ˈrɛndər/,"Give, submit, surrender; translate; declare formally; cause to become",The unexpected news rendered him speechless with shock.,"Dịch, Làm cho, Cung cấp","furnish, impart, confer","withhold, obstruct, revoke"
replete,adjective,c2,/rɪˈpliːt/,/rɪˈplit/,"Supplied in abundance, filled, gorged (used with with)","After the lavish feast, the guests were replete with food and drink.","Tràn ngập, đầy ắp, no nê","brimming, teeming, saturated","bereft, devoid, scarce"
reproach,noun,c2,/rɪˈprəʊtʃ/,/rɪˈproʊtʃ/,"Blame, disgrace (noun); criticize, express disappointment in (verb)",His constant tardiness drew silent reproach from his colleagues.,"Khiển trách, Trách mắng, Chê trách","Censure, Admonish, Upbraid","Commendation, Laud, Acclaim"
repudiate,verb,c2,/rɪˈpjuːdɪeɪt/,/rɪˈpjuːdi.eɪt/,"Reject, cast off, deny that something has authority",He decided to repudiate the contract after discovering the hidden clauses.,"Phủ nhận, Khước từ, Bác bỏ","renounce, disavow, abjure","endorse, uphold, sanction"
requite,verb,c2,/rɪˈkwaɪt/,/rɪˈkwaɪt/,"Reciprocate, repay, or revenge","He hoped she would requite his love, but his feelings remained unreciprocated.","đền đáp, trả thù, đáp trả","reciprocate, retaliate, remunerate","absolve, condone, disregard"
rescind,verb,c2,/rɪˈsɪnd/,/rɪˈsɪnd/,"Annul, repeal, make void",The company decided to rescind the job offer after the background check revealed discrepancies.,"Hủy bỏ, Bãi bỏ, Thu hồi","annul, repeal, abrogate","enact, ratify, uphold"
resolution,noun,c2,/ˌrezəˈluːʃən/,/ˌrezəˈluːʃən/,"The quality of being firmly determined; resolving to do something; a formal judgment, esp. decided by a vote",Her New Year's resolution was to exercise more and eat healthier.,"Quyết tâm, Nghị quyết, Quyết định","determination, resolve, steadfastness","irresolution, vacillation, indecision"
resolve,verb,c2,/rɪˈzɒlv/,/rɪˈzɑːlv/,Find a solution to; firmly decide to do something; decide by formal vote (verb); firmness of purpose (noun),The committee worked hard to resolve the conflict between the two departments.,"Giải quyết, Quyết tâm, Thông qua","settle, determine, rectify","exacerbate, vacillate, perpetuate"
respectively,adverb,c2,/rɪˈspektɪvli/,/rɪˈspɛktɪvli/,In the order given,"Sarah and Tom scored 90 and 95, respectively, on their final exams.","lần lượt, theo thứ tự, tương ứng","sequentially, successively, in turn","indiscriminately, haphazardly, arbitrarily"
restive,adjective,c2,/ˈrɛstɪv/,/ˈrɛstɪv/,Impatient or uneasy under the control of another; resisting being controlled,"The students grew restive during the hour-long, unengaging lecture.","Bồn chồn, Khó bảo, Phản kháng","recalcitrant, intractable, insubordinate","amenable, acquiescent, compliant"
reticent,adjective,c2,/ˈrɛtɪsnt/,/ˈrɛtɪsənt/,"Not talking much; private (of a person), restrained, reserved","He was reticent about his private life, preferring to keep his thoughts to himself.","ít nói, kín đáo, trầm tính","taciturn, uncommunicative, reserved","loquacious, garrulous, voluble"
retrospective,adjective,c2,/ˌrɛtrəˈspɛktɪv/,/ˌrɛtroʊˈspɛktɪv/,"Looking to the past or backward; applying to the past, retroactive (adj); an art exhibit of an artist's work over a long period of time (noun)",The museum organized a retrospective exhibition covering the artist's entire career.,"Hồi cố, Hồi tố, Triển lãm hồi cố","retroactive, nostalgic, reminiscent","prospective, anticipatory, proactive"
reverent,adjective,c2,/ˈrɛvərənt/,/ˈrɛvərənt/,Feeling or expressing very deep respect and awe,The crowd observed a reverent silence during the memorial service.,"Kính cẩn, Tôn kính, Sùng kính","venerating, devout, worshipful","irreverent, contemptuous, profane"
